xmin,ymin,xmax,ymax,label,score,geometry,area,x,y
0.0,267.3807,39.026375,323.59253,Tree,0.57818025,"POLYGON ((39.02637481689453 267.3807067871094, 39.02637481689453 323.592529296875, 0 323.592529296875, 0 267.3807067871094, 39.02637481689453 267.3807067871094))",2193.7437,19.513187,295.48663
268.45834,6.520563,386.03302,147.9925,Tree,0.4223233,"POLYGON ((386.03302001953125 6.520563125610352, 386.03302001953125 147.99249267578125, 268.4583435058594 147.99249267578125, 268.4583435058594 6.520563125610352, 386.03302001953125 6.520563125610352))",16633.516,327.24567,77.25652
421.73425,87.19351,499.32355,164.19998,Tree,0.39257157,"POLYGON ((499.32354736328125 87.19351196289062, 499.32354736328125 164.19998168945312, 421.7342529296875 164.19998168945312, 421.7342529296875 87.19351196289062, 499.32354736328125 87.19351196289062))",5974.8774,460.5289,125.69675
533.2236,321.21896,597.07025,399.20905,Tree,0.3405519,"POLYGON ((597.0702514648438 321.2189636230469, 597.0702514648438 399.20904541015625, 533.2235717773438 399.20904541015625, 533.2235717773438 321.2189636230469, 597.0702514648438 321.2189636230469))",4979.4077,565.1469,360.214
412.69244,0.0,520.2339,54.169357,Tree,0.33627567,"POLYGON ((520.23388671875 0, 520.23388671875 54.16935729980469, 412.69244384765625 54.16935729980469, 412.69244384765625 0, 520.23388671875 0))",5825.4507,466.46317,27.084679
391.53967,219.19696,481.3697,314.4134,Tree,0.30683294,"POLYGON ((481.36968994140625 219.19696044921875, 481.36968994140625 314.41339111328125, 391.5396728515625 314.41339111328125, 391.5396728515625 219.19696044921875, 481.36968994140625 219.19696044921875))",8553.294,436.45468,266.80518
494.522,153.61475,544.42584,207.24008,Tree,0.2610684,"POLYGON ((544.4258422851562 153.61474609375, 544.4258422851562 207.24008178710938, 494.5220031738281 207.24008178710938, 494.5220031738281 153.61474609375, 544.4258422851562 153.61474609375))",2676.11,519.47394,180.42741
213.32121,166.60484,281.71832,255.13962,Tree,0.23688239,"POLYGON ((281.71832275390625 166.60484313964844, 281.71832275390625 255.13961791992188, 213.3212127685547 255.13961791992188, 213.3212127685547 166.60484313964844, 281.71832275390625 166.60484313964844))",6055.523,247.51978,210.87222
166.51102,135.8634,224.29216,200.11931,Tree,0.20075408,"POLYGON ((224.2921600341797 135.8634033203125, 224.2921600341797 200.1193084716797, 166.51101684570312 200.1193084716797, 166.51101684570312 135.8634033203125, 224.2921600341797 135.8634033203125))",3712.7795,195.40158,167.99136
511.42053,243.04544,575.20496,306.9328,Tree,0.18838973,"POLYGON ((575.2049560546875 243.04544067382812, 575.2049560546875 306.93280029296875, 511.4205322265625 306.93280029296875, 511.4205322265625 243.04544067382812, 575.2049560546875 243.04544067382812))",4075.0183,543.31274,274.98914
589.2146,563.4704,599.24664,597.94214,Tree,0.18227085,"POLYGON ((599.2466430664062 563.4703979492188, 599.2466430664062 597.942138671875, 589.214599609375 597.942138671875, 589.214599609375 563.4703979492188, 599.2466430664062 563.4703979492188))",345.822,594.2306,580.7063
571.5111,393.21893,600.0,451.7718,Tree,0.17957073,"POLYGON ((600 393.21893310546875, 600 451.77178955078125, 571.5111083984375 451.77178955078125, 571.5111083984375 393.21893310546875, 600 393.21893310546875))",1668.106,585.75555,422.49536
586.97894,447.1015,600.0,488.40808,Tree,0.17345636,"POLYGON ((600 447.10150146484375, 600 488.4080810546875, 586.9789428710938 488.4080810546875, 586.9789428710938 447.10150146484375, 600 447.10150146484375))",537.85535,593.4895,467.7548
33.110626,0.0,122.634796,58.03918,Tree,0.1604607,"POLYGON ((122.63479614257812 0, 122.63479614257812 58.039180755615234, 33.110626220703125 58.039180755615234, 33.110626220703125 0, 122.63479614257812 0))",5195.9097,77.87271,29.01959
205.8858,302.50827,247.14294,344.69916,Tree,0.14961426,"POLYGON ((247.1429443359375 302.5082702636719, 247.1429443359375 344.69915771484375, 205.88580322265625 344.69915771484375, 205.88580322265625 302.5082702636719, 247.1429443359375 302.5082702636719))",1740.6754,226.51437,323.6037
39.15013,455.3958,59.991768,482.28192,Tree,0.13477474,"POLYGON ((59.99176788330078 455.39581298828125, 59.99176788330078 482.28192138671875, 39.15013122558594 482.28192138671875, 39.15013122558594 455.39581298828125, 59.99176788330078 455.39581298828125))",560.3505,49.57095,468.83887
0.12567258,332.76904,13.488436,364.34656,Tree,0.11976567,"POLYGON ((13.488435745239258 332.76904296875, 13.488435745239258 364.3465576171875, 0.1256725788116455 364.3465576171875, 0.1256725788116455 332.76904296875, 13.488435745239258 332.76904296875))",421.96286,6.8070545,348.5578
333.01657,162.99625,390.4947,222.16437,Tree,0.117414385,"POLYGON ((390.49468994140625 162.99624633789062, 390.49468994140625 222.16436767578125, 333.0165710449219 222.16436767578125, 333.0165710449219 162.99624633789062, 390.49468994140625 162.99624633789062))",3400.8723,361.7556,192.5803
508.5384,320.61484,540.65784,356.88757,Tree,0.113964505,"POLYGON ((540.6578369140625 320.6148376464844, 540.6578369140625 356.8875732421875, 508.53839111328125 356.8875732421875, 508.53839111328125 320.6148376464844, 540.6578369140625 320.6148376464844))",1165.0602,524.59814,338.75122
588.5454,303.9255,600.0,348.60583,Tree,0.10192367,"POLYGON ((600 303.9255065917969, 600 348.6058349609375, 588.54541015625 348.6058349609375, 588.54541015625 303.9255065917969, 600 303.9255065917969))",511.79483,594.2727,326.2657
