xmin,ymin,xmax,ymax,label,score,geometry,area,x,y
659.0,342.0,697.0,377.0,Tree,0.2960374057292938,"POLYGON ((697 342, 697 377, 659 377, 659 342, 697 342))",1330.0,678.0,359.5
0.0,523.0,29.0,555.0,Tree,0.284334272146225,"POLYGON ((29 523, 29 555, 0 555, 0 523, 29 523))",928.0,14.5,539.0
62.0,564.0,121.0,618.0,Tree,0.2465110719203949,"POLYGON ((121 564, 121 618, 62 618, 62 564, 121 564))",3186.0,91.5,591.0
0.0,553.0,15.0,597.0,Tree,0.24185675382614136,"POLYGON ((15 553, 15 597, 0 597, 0 553, 15 553))",660.0,7.5,575.0
1000.0,0.0,1042.0,12.0,Tree,0.23887576162815094,"POLYGON ((1042 0, 1042 12, 1000 12, 1000 0, 1042 0))",504.0,1021.0,6.0
799.0,78.0,892.0,167.0,Tree,0.2011505663394928,"POLYGON ((892 78, 892 167, 799 167, 799 78, 892 78))",8277.0,845.5,122.5
22.0,594.0,72.0,640.0,Tree,0.17213773727416992,"POLYGON ((72 594, 72 640, 22 640, 22 594, 72 594))",2300.0,47.0,617.0
38.0,633.0,96.0,688.0,Tree,0.1565283089876175,"POLYGON ((96 633, 96 688, 38 688, 38 633, 96 633))",3190.0,67.0,660.5
0.0,613.0,14.0,665.0,Tree,0.14076441526412964,"POLYGON ((14 613, 14 665, 0 665, 0 613, 14 613))",728.0,7.0,639.0
149.0,349.0,247.0,444.0,Tree,0.10417100042104721,"POLYGON ((247 349, 247 444, 149 444, 149 349, 247 349))",9310.0,198.0,396.5
